order_id,item_count
1000049,9
1000051,3
1000089,4
1000112,22
1000129,11
1000138,1
1000161,4
1000194,16
100024,9
1000279,2
1000305,7
1000309,10
1000331,2
1000382,13
1000398,3
1000400,1
1000423,5
1000435,18
1000438,8
1000465,9
1000483,5
1000494,8
1000512,14
1000517,11
100052,14
1000534,6
1000567,2
1000612,2
1000621,11
1000643,3
1000717,10
1000733,3
1000741,2
1000758,1
1000827,1
1000858,4
1001002,18
1001024,8
1001071,9
1001106,7
1001109,2
1001112,5
1001158,8
1001214,7
1001217,15
1001277,10
1001297,5
1001361,5
1001399,13
1001410,4
1001541,6
1001614,1
1001635,2
1001664,7
1001707,8
1001712,18
1001742,5
1001754,7
1001780,7
1001824,4
1001890,6
1001916,4
1002045,14
1002094,8
1002107,4
1002145,4
1002163,12
1002170,10
1002230,4
1002252,14
1002311,5
1002348,3
1002443,5
1002447,5
1002457,10
1002474,12
1002490,7
100251,2
1002510,4
1002511,8
1002545,3
1002571,7
1002613,4
1002619,1
1002626,11
1002631,10
1002683,7
1002730,3
1002734,8
10028,4
100282,6
1002858,10
1002897,7
1002921,1
1002927,9
1002973,4
1003063,19
1003163,2
1003234,1
1003245,6
1003268,1
1003353,5
1003357,6
1003380,9
1003476,4
1003524,2
1003532,12
1003535,12
1003540,9
1003544,13
1003559,9
1003573,27
1003615,11
1003639,1
1003641,12
1003655,9
1003856,7
1003871,3
1003947,7
1004006,10
1004026,7
1004030,3
1004043,5
1004119,5
1004151,16
1004163,2
100419,6
1004190,12
1004222,16
1004232,7
1004292,3
1004330,4
1004363,6
1004367,9
1004368,1
1004452,1
1004465,8
1004468,10
1004475,3
1004486,4
1004528,10
1004593,1
1004603,8
1004626,3
1004696,11
1004843,2
1004856,5
1004933,4
100494,4
1004973,9
1005007,3
1005067,6
1005077,2
1005078,7
1005110,3
1005133,12
1005178,10
1005184,5
1005247,11
1005262,9
1005336,1
1005360,5
1005401,3
1005419,10
1005434,6
1005494,9
1005500,10
1005515,6
1005521,16
1005553,3
1005563,12
1005572,19
1005576,7
1005578,17
1005579,9
1005594,1
1005614,9
1005631,7
1005650,3
1005655,21
10057,2
1005749,16
1005778,2
1005805,2
1005862,2
1005905,1
1005928,14
1005942,14
1005960,4
1005974,2
1005978,1
1005986,11
1005989,12
1005992,10
1005996,13
1006010,5
100611,17
1006126,13
100617,7
1006216,22
1006233,1
1006235,18
1006240,2
1006290,7
1006300,1
1006358,11
1006364,8
1006368,5
1006385,3
1006401,8
1006469,6
1006481,7
1006557,5
1006574,10
1006575,6
1006590,30
1006601,10
1006612,4
1006614,9
1006663,7
1006718,6
1006719,8
1006737,5
1006754,7
1006781,14
1006809,5
1006818,3
1006822,4
1006847,6
100686,7
1006902,13
1007025,17
1007070,24
1007148,9
1007187,10
1007209,9
1007269,11
1007283,12
1007286,3
1007309,7
1007311,3
1007330,3
1007344,7
1007345,5
1007355,4
1007373,3
1007473,5
1007585,13
1007671,7
100775,13
1007831,12
1007883,6
1007890,8
1007910,29
1007922,2
1007942,5
1007955,17
1007963,6
1007970,6
1007980,15
1008001,5
1008002,7
1008016,2
100804,6
1008071,6
1008084,1
1008095,16
1008159,9
1008173,5
1008207,6
1008231,7
1008272,3
1008286,5
1008291,5
1008312,18
1008331,2
1008333,8
100848,19
1008482,5
1008530,6
1008541,4
1008546,21
1008590,5
1008611,14
1008629,11
1008660,13
1008697,8
1008711,4
1008740,3
1008798,4
1008820,6
1008831,8
1008899,13
100891,6
1008911,15
1008912,8
1008981,4
1008983,3
1009049,11
1009059,4
1009068,3
1009114,3
1009126,14
1009131,19
100920,7
1009242,9
1009303,17
100935,6
1009362,4
1009389,8
1009420,5
100944,5
1009448,14
1009461,8
1009462,10
1009473,4
1009610,11
1009612,6
1009665,3
1009667,8
1009680,26
1009707,5
1009712,3
1009716,1
1009776,3
1009870,11
1009903,14
1010036,3
101004,1
1010114,8
1010158,6
1010163,55
1010201,5
1010292,8
1010324,2
1010356,17
1010380,5
1010412,18
1010415,15
1010443,20
101047,12
1010506,6
101052,16
1010538,5
1010567,2
1010568,4
1010641,22
1010649,3
1010826,2
1010923,14
1010928,4
101094,13
1011001,14
1011139,7
1011229,4
1011240,5
1011313,9
1011385,6
1011399,13
1011419,2
101144,2
1011466,8
1011469,6
1011501,5
1011597,9
101163,9
1011716,7
1011732,17
1011746,2
1011754,13
1011801,4
1011845,5
101185,5
1011904,24
1011950,3
1012059,19
101207,5
1012070,6
1012147,12
101215,1
1012227,4
1012230,7
1012292,13
1012300,5
1012322,5
1012337,9
1012409,1
1012426,9
1012434,13
1012437,3
1012465,4
1012510,8
1012512,24
1012542,16
1012606,7
1012623,8
1012666,6
101267,10
1012752,5
1012811,2
1012812,1
1012860,4
1012872,4
1012931,12
1012961,14
1013024,8
101305,15
101307,4
1013130,2
101317,5
1013212,22
1013213,1
1013248,10
101334,6
1013362,18
1013408,4
1013430,10
1013459,5
1013501,13
1013565,7
1013569,3
1013595,10
1013616,21
1013672,4
1013691,8
1013708,4
1013733,7
1013753,8
1013765,5
1013832,3
1013874,5
1013893,4
1013902,3
1013920,6
1013935,1
1013968,12
1014095,3
1014141,1
1014219,19
1014232,9
1014333,5
1014345,11
1014349,6
1014353,10
1014359,2
1014374,6
1014391,11
1014396,1
101443,14
1014447,1
1014465,3
1014503,1
1014581,4
1014606,4
1014615,12
1014625,33
1014673,4
1014756,7
1014770,5
1014780,1
1014783,8
1014788,7
1014838,16
1015016,15
1015042,46
1015051,5
1015065,14
1015092,8
1015121,3
1015188,3
1015190,6
1015203,6
1015209,4
1015216,6
101523,17
1015266,5
1015313,2
1015315,2
1015324,2
1015366,7
1015373,18
1015408,14
1015457,19
1015461,13
1015473,4
1015534,6
101564,5
1015643,20
101574,14
1015798,5
1015805,7
1015843,8
1015847,3
1015851,8
1015871,5
1015883,9
1015899,8
1015995,4
1016015,27
1016050,2
1016068,4
1016081,9
1016242,1
1016249,5
1016270,19
101628,16
1016280,7
101630,5
1016315,6
1016378,4
1016397,1
101653,10
1016540,7
1016552,15
1016588,15
1016601,11
1016633,4
1016658,1
1016661,8
1016682,1
1016727,2
1016762,6
1016785,3
1016813,4
1016819,4
1016883,16
1016930,4
1016969,8
1016972,7
1016977,15
1016981,11
1017012,1
1017015,4
101703,6
1017072,24
1017082,22
1017089,11
1017130,10
1017149,19
1017193,12
101722,4
1017243,6
1017259,7
1017304,10
1017382,2
1017389,16
1017393,3
1017400,6
1017423,6
1017424,2
1017457,5
1017464,6
1017527,6
1017573,10
1017681,9
1017684,6
1017705,2
1017740,15
1017790,3
1017866,6
1017898,8
1017902,14
1017917,5
101796,1
1017964,4
1017967,15
1018078,8
1018113,6
1018121,16
1018125,9
1018126,4
1018129,8
1018139,17
1018155,4
1018245,7
10183,21
1018326,7
1018367,9
101838,9
1018511,10
1018525,28
1018529,6
1018551,4
1018552,9
1018621,1
1018659,6
1018686,17
1018713,4
1018762,4
1018773,6
1018785,4
1018804,10
1018840,18
1018889,4
1018925,14
1019022,8
1019043,32
1019045,7
1019074,2
1019083,13
101912,9
1019139,10
1019142,8
101916,10
1019203,4
1019226,8
1019304,13
1019325,6
1019385,12
1019392,2
1019395,15
101942,1
1019456,3
1019487,19
1019496,6
1019500,10
1019546,8
1019564,18
1019567,11
1019568,10
1019569,20
1019671,4
1019824,1
1019829,1
1019856,1
1019872,11
1019896,8
1019897,10
